area,mean_intensity,perimeter,prep,dir_name,image_name
1077.0,1.0,151.94112549695427,TFIIB FL,data,good_condensates
188.0,1.0,69.76345596729058,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
312.0,1.0,137.21320343559643,TFIIB FL,data,good_condensates
7279.0,1.0,452.7411613907041,TFIIB FL,data,good_condensates
964.0,1.0,136.49137802864846,TFIIB FL,data,good_condensates
2004.0,1.0,234.60407640085654,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1164.0,1.0,130.9116882454314,TFIIB FL,data,good_condensates
27.0,1.0,18.0,TFIIB FL,data,good_condensates
613.0,1.0,124.90559159102153,TFIIB FL,data,good_condensates
4811.0,1.0,278.79393923934,TFIIB FL,data,good_condensates
3053.0,1.0,214.095454429505,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
362.0,1.0,80.698484809835,TFIIB FL,data,good_condensates
49.0,1.0,28.27817459305202,TFIIB FL,data,good_condensates
1174.0,1.0,135.1543289325507,TFIIB FL,data,good_condensates
284.0,1.0,68.8700576850888,TFIIB FL,data,good_condensates
1773.0,1.0,175.46803743153546,TFIIB FL,data,good_condensates
742.0,1.0,110.01219330881975,TFIIB FL,data,good_condensates
3497.0,1.0,244.54520189781084,TFIIB FL,data,good_condensates
6521.0,1.0,425.8061325481598,TFIIB FL,data,good_condensates
3347.0,1.0,228.30256121069152,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
12.0,1.0,11.621320343559644,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
476.0,1.0,88.39087296526012,TFIIB FL,data,good_condensates
4.0,1.0,3.2071067811865475,TFIIB FL,data,good_condensates
2466.0,1.0,198.0243866176395,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3060.0,1.0,264.9594154601839,TFIIB FL,data,good_condensates
314.0,1.0,70.66295090390226,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
21034.0,1.0,1393.4894654563448,TFIIB FL,data,good_condensates
34.0,1.0,21.86396103067893,TFIIB FL,data,good_condensates
50.0,1.0,31.48528137423857,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3051.0,1.0,222.3380951166243,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3.0,1.0,1.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
131.0,1.0,45.00609665440987,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2717.0,1.0,230.95941546018392,TFIIB FL,data,good_condensates
4.0,1.0,4.414213562373095,TFIIB FL,data,good_condensates
269.0,1.0,72.11269837220809,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
14.0,1.0,11.621320343559644,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3.0,1.0,3.414213562373095,TFIIB FL,data,good_condensates
14466.0,1.0,877.1564209736038,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3130.0,1.0,286.75230867899734,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1238.0,1.0,137.9827560572969,TFIIB FL,data,good_condensates
445.0,1.0,83.2842712474619,TFIIB FL,data,good_condensates
4.0,1.0,2.2071067811865475,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
237.0,1.0,67.07716446627535,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
4.0,1.0,2.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
8905.0,1.0,458.25588001646554,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
718.0,1.0,109.66904755831214,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3622.0,1.0,241.2020561473032,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
935.0,1.0,121.46194077712559,TFIIB FL,data,good_condensates
245.0,1.0,63.4558441227157,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
5.0,1.0,5.621320343559642,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1622.0,1.0,160.9827560572969,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
4.0,1.0,3.414213562373095,TFIIB FL,data,good_condensates
1387.0,1.0,144.39696961967,TFIIB FL,data,good_condensates
1316.0,1.0,145.9827560572969,TFIIB FL,data,good_condensates
663.0,1.0,101.66904755831214,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2556.0,1.0,282.75840533340727,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2615.0,1.0,198.92388155425118,TFIIB FL,data,good_condensates
5355.0,1.0,321.9655121145938,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
518.0,1.0,94.31980515339464,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1987.0,1.0,176.9177848998413,TFIIB FL,data,good_condensates
1708.0,1.0,162.39696961967,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
5.0,1.0,5.414213562373095,TFIIB FL,data,good_condensates
716.0,1.0,103.70458146424488,TFIIB FL,data,good_condensates
837.0,1.0,117.0477272147525,TFIIB FL,data,good_condensates
32.0,1.0,21.071067811865476,TFIIB FL,data,good_condensates
136.0,1.0,48.384776310850235,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1105.0,1.0,133.3259018078045,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3.0,1.0,3.414213562373095,TFIIB FL,data,good_condensates
5.0,1.0,4.207106781186548,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1432.0,1.0,220.15432893255073,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
291.0,1.0,70.04163056034261,TFIIB FL,data,good_condensates
10.0,1.0,8.828427124746192,TFIIB FL,data,good_condensates
1364.0,1.0,144.9827560572969,TFIIB FL,data,good_condensates
3.0,1.0,3.414213562373095,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
10888.0,1.0,588.8183258569795,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
329.0,1.0,72.52691193458118,TFIIB FL,data,good_condensates
6472.0,1.0,358.97160876900364,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1688.0,1.0,157.46803743153546,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1063.0,1.0,132.25483399593904,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
93.0,1.0,40.17766952966369,TFIIB FL,data,good_condensates
1942.0,1.0,173.95331880577402,TFIIB FL,data,good_condensates
264.0,1.0,68.87005768508881,TFIIB FL,data,good_condensates
1228.0,1.0,134.3259018078045,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
544.0,1.0,94.5269119345812,TFIIB FL,data,good_condensates
2510.0,1.0,222.1959594928933,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
661.0,1.0,104.84062043356595,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
469.0,1.0,89.2193000900063,TFIIB FL,data,good_condensates
3.0,1.0,1.0,TFIIB FL,data,good_condensates
3783.0,1.0,249.58073580374355,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
24.0,1.0,20.035533905932738,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
432.0,1.0,84.69848480983501,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2897.0,1.0,214.50966799187808,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
76.0,1.0,36.384776310850235,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1848.0,1.0,172.29646455628165,TFIIB FL,data,good_condensates
618.0,1.0,97.18376618407356,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
966.0,1.0,126.32590180780451,TFIIB FL,data,good_condensates
304.0,1.0,98.97056274847714,TFIIB FL,data,good_condensates
543.0,1.0,95.14823227814082,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
4356.0,1.0,283.651803615609,TFIIB FL,data,good_condensates
2853.0,1.0,213.88834764831842,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
536.0,1.0,94.14823227814082,TFIIB FL,data,good_condensates
4292.0,1.0,316.1309883354377,TFIIB FL,data,good_condensates
465.0,1.0,85.2842712474619,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1650.0,1.0,161.71067811865476,TFIIB FL,data,good_condensates
1131.0,1.0,132.3259018078045,TFIIB FL,data,good_condensates
17.0,1.0,13.035533905932738,TFIIB FL,data,good_condensates
4091.0,1.0,296.7228714274745,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1220.0,1.0,136.60407640085654,TFIIB FL,data,good_condensates
281.0,1.0,67.21320343559643,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
442.0,1.0,88.2842712474619,TFIIB FL,data,good_condensates
3.0,1.0,1.2071067811865475,TFIIB FL,data,good_condensates
6.0,1.0,6.0,TFIIB FL,data,good_condensates
1134.0,1.0,133.1543289325507,TFIIB FL,data,good_condensates
5.0,1.0,3.2071067811865475,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2289.0,1.0,188.8528137423857,TFIIB FL,data,good_condensates
3.0,1.0,3.414213562373095,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
136.0,1.0,52.21320343559643,TFIIB FL,data,good_condensates
1559.0,1.0,155.88225099390854,TFIIB FL,data,good_condensates
1614.0,1.0,158.0538238691624,TFIIB FL,data,good_condensates
1814.0,1.0,167.05382386916236,TFIIB FL,data,good_condensates
296.0,1.0,72.4558441227157,TFIIB FL,data,good_condensates
171.0,1.0,58.798989873223334,TFIIB FL,data,good_condensates
2247.0,1.0,190.3319984622144,TFIIB FL,data,good_condensates
144.0,1.0,55.798989873223334,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2140.0,1.0,181.57463914933368,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
21.0,1.0,17.242640687119284,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
4.0,1.0,3.2071067811865475,TFIIB FL,data,good_condensates
556.0,1.0,95.35533905932738,TFIIB FL,data,good_condensates
1409.0,1.0,147.05382386916236,TFIIB FL,data,good_condensates
3673.0,1.0,257.58073580374355,TFIIB FL,data,good_condensates
3298.0,1.0,255.44469683442247,TFIIB FL,data,good_condensates
1273.0,1.0,138.42640687119285,TFIIB FL,data,good_condensates
1916.0,1.0,173.88225099390854,TFIIB FL,data,good_condensates
8729.0,1.0,556.2325394193526,TFIIB FL,data,good_condensates
334.0,1.0,77.07716446627535,TFIIB FL,data,good_condensates
1289.0,1.0,142.9116882454314,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3245.0,1.0,233.13098833543773,TFIIB FL,data,good_condensates
957.0,1.0,122.5685424949238,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1129.0,1.0,129.84062043356593,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
286.0,1.0,69.38477631085024,TFIIB FL,data,good_condensates
10833.0,1.0,709.4518395093589,TFIIB FL,data,good_condensates
3106.0,1.0,225.85891039679558,TFIIB FL,data,good_condensates
123.0,1.0,45.9350288425444,TFIIB FL,data,good_condensates
258.0,1.0,65.83452377915606,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1535.0,1.0,154.5035713374682,TFIIB FL,data,good_condensates
23.0,1.0,18.82842712474619,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2685.0,1.0,203.36753236814712,TFIIB FL,data,good_condensates
1146.0,1.0,138.1543289325507,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
481.0,1.0,88.80508652763321,TFIIB FL,data,good_condensates
140.0,1.0,55.17766952966369,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
6.0,1.0,6.414213562373095,TFIIB FL,data,good_condensates
2916.0,1.0,215.99494936611666,TFIIB FL,data,good_condensates
3252.0,1.0,251.8589103967956,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3478.0,1.0,293.34419177103416,TFIIB FL,data,good_condensates
4.0,1.0,3.2071067811865475,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
531.0,1.0,95.0477272147525,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
4756.0,1.0,292.8589103967956,TFIIB FL,data,good_condensates
1138.0,1.0,132.08326112068522,TFIIB FL,data,good_condensates
5070.0,1.0,300.5512985522207,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
204.0,1.0,62.7634559672906,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1647.0,1.0,161.22539674441617,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
255.0,1.0,71.8700576850888,TFIIB FL,data,good_condensates
294.0,1.0,66.79898987322333,TFIIB FL,data,good_condensates
4.0,1.0,2.2071067811865475,TFIIB FL,data,good_condensates
173.0,1.0,58.21320343559643,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
445.0,1.0,85.11269837220809,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
574.0,1.0,95.2193000900063,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
15.0,1.0,12.242640687119286,TFIIB FL,data,good_condensates
2088.0,1.0,187.29646455628165,TFIIB FL,data,good_condensates
561.0,1.0,99.76955262170046,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2684.0,1.0,207.88834764831842,TFIIB FL,data,good_condensates
1509.0,1.0,157.46803743153546,TFIIB FL,data,good_condensates
3.0,1.0,1.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3415.0,1.0,236.99494936611666,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
8.0,1.0,6.0,TFIIB FL,data,good_condensates
3.0,1.0,3.414213562373095,TFIIB FL,data,good_condensates
3.0,1.0,1.0,TFIIB FL,data,good_condensates
1207.0,1.0,137.91168824543144,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
4019.0,1.0,265.6873375215418,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3450.0,1.0,237.23759005323592,TFIIB FL,data,good_condensates
501.0,1.0,91.59797974644667,TFIIB FL,data,good_condensates
2699.0,1.0,205.75230867899737,TFIIB FL,data,good_condensates
3.0,1.0,1.0,TFIIB FL,data,good_condensates
686.0,1.0,105.6335136523794,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
365.0,1.0,78.31980515339464,TFIIB FL,data,good_condensates
8561.0,1.0,585.8244225113895,TFIIB FL,data,good_condensates
58.0,1.0,33.72792206135785,TFIIB FL,data,good_condensates
4.0,1.0,4.414213562373095,TFIIB FL,data,good_condensates
1085.0,1.0,127.87615433949868,TFIIB FL,data,good_condensates
1067.0,1.0,129.91168824543144,TFIIB FL,data,good_condensates
60.0,1.0,38.48528137423857,TFIIB FL,data,good_condensates
469.0,1.0,86.698484809835,TFIIB FL,data,good_condensates
15.0,1.0,12.414213562373096,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
4188.0,1.0,273.1370849898476,TFIIB FL,data,good_condensates
2464.0,1.0,217.58073580374355,TFIIB FL,data,good_condensates
3371.0,1.0,230.99494936611666,TFIIB FL,data,good_condensates
784.0,1.0,113.6335136523794,TFIIB FL,data,good_condensates
4214.0,1.0,267.8589103967956,TFIIB FL,data,good_condensates
299.0,1.0,70.2842712474619,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
4753.0,1.0,388.28531726798843,TFIIB FL,data,good_condensates
412.0,1.0,81.97665940288701,TFIIB FL,data,good_condensates
